sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
ORCH S4;air temperature;https://files.seeedstudio.com/wiki/Orch_S4_Weather_Station/SenseCAP_ORCH_S4-DataSheet.pdf;SenseCap;;SenseCap-ORCHS4;;
TP500;precipitation;https://www.siapmicros.com/wp-content/uploads/2022/12/TP500_TP1000-ENG-1.pdf;SIAP and MICROS;rain gauge;SIAP-MICROS-TP500;;
HD3910.1.5;soil moisture, soil temperature;https://environmental.senseca.com/product/hd3910-1-hd3910-2-soil-volumetric-water-content/;Senseca;;Senseca-HD3910;dielectric constant;FDR-Capacitance
RG50;precipitation;https://ugt-online.de/loesungen/niederschlagsensor-rg-50/;UGT;rain gauge;UGT-RG50;;
Rain Gauge;precipitation;https://fischer-barometer.de/media/pdf/d8/72/45/D441301_08.pdf?srsltid=AfmBOopDMRlRLVye6A5f_vIq3f-rvqw6r5R56L0SkvJQp1vvwYRc790J;Fischer;Rain Gauge;Fischer-Rain-Gauge;;
SHT85;air temperature and humidity;https://sensirion.com/media/documents/4B40CEF3/640B2346/Sensirion_Humidity_Sensors_SHT85_Datasheet.pdf;Sensirion;;Sensirion-SHT85;;
SHT75;air temperature and humidity;https://sensirion.com/media/documents/9A2ADC83/61642805/Sensirion_Humidity_Sensors_SHT7x_Datasheet.pdf;Sensirion;;Sensirion-SHT75;;
MS5534C;barometric pressure;https://www.amsys.de/downloads/data/MS5534C-AMSYS-datasheet.pdf;Amsys;;Amsys-MS5534C;;
ECH20-TE;Soil Moisture,  Soil Temperature;https://envcoglobal.com/wp-content/uploads/2014/10/5te-manual-08.pdf;Decagon Devives;;Decagon-ECH20-TE;dielectric constant;FDR-Capacitance
CS106;barometric pressure;https://s.campbellsci.com/documents/us/manuals/cs106.pdf;Campbell Scientific;;Campbell-CS105;;
SHM31;snow depth;Lufft_Snow_Depth_Sensor_SHM31.pdf;Lufft;;Lufft-SHM31;;
YPT8;air temperature;https://thermx.com/wp-content/uploads/2023/11/Transition-Thermistor-Probe.pdf;ThermX;;ThermX-YPT8;;
TEROS11;soil moisture, soil EC, soil temperature;http://publications.metergroup.com/Manuals/20587_TEROS11-12_Manual_Web.pdf;METER Group;;Meter-Teros11;dielectric constant;FDR-Capacitance
