network_abbr;orig_flag_name;orig_flag_description
TERENO;1_5005;unevaluated - gapfilled_gapfilled
TERENO;1_5015;unevaluated - gapfilled_interpolated
TERENO;1_5016;unevaluated - gapfilled_extrapolated
TERENO;1_7007;unevaluated - modified_modified
TERENO;1_7022;unevaluated - modified_data not plausible
TERENO;1_7060;unevaluated - modified_drift corrected
TERENO;3_1001;visual inspected - unevaluated_unevaluated
TERENO;3_1010;visual inspected - unevaluated_autosampler
TERENO;3_1028;visual inspected - unevaluated_change sensor MPS
TERENO;3_15014;visual inspected - interpolated_unknown
TERENO;3_15015;visual inspected - interpolated_interpolated
TERENO;3_15061;visual inspected - interpolated_linreg other station
TERENO;3_15062;visual inspected - interpolated_replacedby other station
TERENO;3_15063;visual inspected - interpolated_linreg DWD station
TERENO;3_15064;visual inspected - interpolated_replacedby DWD station
TERENO;3_15065;visual inspected - interpolated_spline time
TERENO;3_15066;visual inspected - interpolated_linreg time
TERENO;3_2002;visual inspected - ok_ok
TERENO;3_2010;visual inspected - ok_autosampler
TERENO;3_2025;visual inspected - ok_goodquality
TERENO;3_2026;visual inspected - ok_moderatequality
TERENO;3_2027;visual inspected - ok_qualityunknown
TERENO;3_2067;visual inspected - ok_below detection limit
TERENO;3_2068;visual inspected - ok_above detection limit
TERENO;3_25025;visual inspected - goodquality_goodquality
TERENO;3_25066;visual inspected - goodquality_linreg time
TERENO;3_3003;visual inspected - suspicious_suspicious
TERENO;3_3010;visual inspected - suspicious_autosampler
TERENO;3_3011;visual inspected - suspicious_min
TERENO;3_3012;visual inspected - suspicious_max
TERENO;3_3014;visual inspected - suspicious_unknown
TERENO;3_3017;visual inspected - suspicious_missing
TERENO;3_3020;visual inspected - suspicious_unplausiblevariation
TERENO;3_3023;visual inspected - suspicious_frozen
TERENO;3_3028;visual inspected - suspicious_change sensor MPS
TERENO;3_3029;visual inspected - suspicious_sensorchange
TERENO;3_3033;visual inspected - suspicious_noisydata
TERENO;3_3035;visual inspected - suspicious_changeflow/positionsensor
TERENO;3_3036;visual inspected - suspicious_technicaldisturbance
TERENO;3_3037;visual inspected - suspicious_maintenancedisturbance
TERENO;3_3043;visual inspected - suspicious_backwater
TERENO;3_3044;visual inspected - suspicious_nodatachange
TERENO;3_3045;visual inspected - suspicious_leaking tank
TERENO;3_3046;visual inspected - suspicious_check for sensor drift
TERENO;3_3048;visual inspected - suspicious_inconsistent time period
TERENO;3_3049;visual inspected - suspicious_tillage
TERENO;3_3053;visual inspected - suspicious_sensor reports malfunction
TERENO;3_3070;visual inspected - suspicious_Rewetting
TERENO;3_4004;visual inspected - baddata_baddata
TERENO;3_4010;visual inspected - baddata_autosampler
TERENO;3_4011;visual inspected - baddata_min
TERENO;3_4012;visual inspected - baddata_max
TERENO;3_4013;visual inspected - baddata_irregular
TERENO;3_4017;visual inspected - baddata_missing
TERENO;3_4018;visual inspected - baddata_outoforder
TERENO;3_4019;visual inspected - baddata_isolatedspike
TERENO;3_4020;visual inspected - baddata_unplausiblevariation
TERENO;3_4021;visual inspected - baddata_data transfer disturbed
TERENO;3_4022;visual inspected - baddata_data not plausible
TERENO;3_4023;visual inspected - baddata_frozen
TERENO;3_4024;visual inspected - baddata_badquality
TERENO;3_4028;visual inspected - baddata_change sensor MPS
TERENO;3_4033;visual inspected - baddata_noisydata
TERENO;3_4034;visual inspected - baddata_temperature effects
TERENO;3_4035;visual inspected - baddata_changeflow/positionsensor
TERENO;3_4036;visual inspected - baddata_technicaldisturbance
TERENO;3_4037;visual inspected - baddata_maintenancedisturbance
TERENO;3_4038;visual inspected - baddata_pumpfailure
TERENO;3_4039;visual inspected - baddata_removablematter
TERENO;3_4040;visual inspected - baddata_liquidapplication
TERENO;3_4041;visual inspected - baddata_controlaffected
TERENO;3_4042;visual inspected - baddata_tankrelease
TERENO;3_4043;visual inspected - baddata_backwater
TERENO;3_4047;visual inspected - baddata_ppleaking
TERENO;3_4050;visual inspected - baddata_deadsignal
TERENO;3_4051;visual inspected - baddata_noprecipitation
TERENO;3_4052;visual inspected - baddata_waterwithdrawal
TERENO;3_4054;visual inspected - baddata_manual deactivation
TERENO;3_4055;visual inspected - baddata_max preciptiation 6h
TERENO;3_4056;visual inspected - baddata_max preciptiation 12h
TERENO;3_4057;visual inspected - baddata_max preciptiation 24h
TERENO;3_4058;visual inspected - baddata_max preciptiation 2d
TERENO;3_4059;visual inspected - baddata_max preciptiation 5d
TERENO;3_4069;visual inspected - baddata_sealinglip
TERENO;3_4071;visual inspected - baddata_Analysis error
TERENO;3_5005;visual inspected - gapfilled_gapfilled
TERENO;3_5015;visual inspected - gapfilled_interpolated
TERENO;3_5016;visual inspected - gapfilled_extrapolated
TERENO;3_7007;visual inspected - modified_modified
TERENO;3_7022;visual inspected - modified_data not plausible
TERENO;3_7060;visual inspected - modified_drift corrected
TERENO;4_1010;approved upload - unevaluated_autosampler
TERENO;4_1028;approved upload - unevaluated_change sensor MPS
TERENO;4_15014;approved upload - interpolated_unknown
TERENO;4_15015;approved upload - interpolated_interpolated
TERENO;4_15061;approved upload - interpolated_linreg other station
